Game ID,Black Player,White Player,Result,Winner,Board Diff,Corner Diff,Territory Diff,Liberty Diff
219707,李世石,一力辽,白中盘胜,W,1,11,25,-22
223065,金明训,李世石,白中盘胜,W,3,2,3,19
223071,唐韦星,李世石,白中盘胜,W,6,-1,9,5
223082,李世石,童梦成,黑中盘胜,B,-5,4,0,43
224013,李世石,安成浚,白中盘胜,W,4,-10,-17,38
225873,李映九,李世石,黑中盘胜,B,8,-10,2,-22
227155,李世石,李志贤,白中盘胜,W,1,1,-1,10
230584,柯洁,李世石,黑中盘胜,B,0,-5,-9,0
230847,李世石,柯洁,黑中盘胜,B,-2,1,-15,8
231066,李世石,柯洁,白中盘胜,W,-2,-9,-2,-6
232670,李世石,曹又尹,黑中盘胜,B,1,7,0,24
233010,李世石,金起用,白中盘胜,W,-1,6,-2,18
244376,李世石,姜东润,黑中盘胜,B,4,7,3,22
272613,李世石,井山裕太,黑中盘胜,B,1,-1,-15,34
274884,李昌镐,李世石,黑中盘胜,B,4,8,3,-4
